id,type,company,document_name,table_name,page_number,table_category
ITAS_VITA_23_01_02,L_ITA,ITAS_VITA,SFCR_G0010_20251231.pdf,S_23_01_01_2,242,S_23_01_01
GROUPAMA_23_01_01,A_ITA,GROUPAMA,SFCR-2025-Relazione-solvibilita-condizione-finanziaria-Groupama-Assicurazioni.pdf,S_23_01_01_1,103,S_23_01_01
GROUPAMA_23_01_02,L_ITA,GROUPAMA,SFCR-2025-Relazione-solvibilita-condizione-finanziaria-Groupama-Assicurazioni.pdf,S_23_01_01_2,104,S_23_01_01
BCC_VITA_23_01,B,BCC_VITA,Relazione-sulla-Solvibilita-e-Condizione-Finanziaria-2025_BCC_Vita.pdf,S_23_01_01,119,S_23_01_01
HDI_25_01,B,HDI,SFCR2025EN.pdf,S_25_01_21,109,S_25_01_21
UNICREDIT_VITA_25_01,B_ITA,UNICREDIT VITA,57185-Relazione relativa alla solvibilità e condizione finanziaria SFCR 2025.pdf,S_25_01_21,113,S_25_01_21
ATHORA_25_01_21,B_ITA,ATHORA,SFCR_2025_Athoraitalia_web.pdf,S_25_01_21,153,S_25_01_21
ALLIANZ_UNICREDIT_25_01_21,B_ITA,ALLIANZ_UNICREDIT,57265-Relazione_relativa_alla_solvibilita_e_condizione_finanziaria_SFCR_2025_UniCredit_Vita_Assicurazioni.pdf,S_25_01_21,116,S_25_01_21
CNP_VITA_25_01_21,B,CNP_VITA,SFCR_CNP_Vita_Assicura_2025.pdf,S_25_01_21,147,S_25_01_21
BMP_VITA_25_01_21,B,BMP VITA,Banco-BPM-Vita-Relazione-relativa-alla-solvibilita-e-alla-condizione-finanziaria-2025.pdf,S_25_01_21,101,S_25_01_21
HELVETIA_VITA_25_01_21,B,HELVETIA_VITA,SFCR-Annex_Helvetia Vita_2025.pdf,S_25_01_21,10,S_25_01_21
CARDIF_25_01_21,B,CARDIF,Relazione-sulla-Solvibilita-e-Condizione-Finanziaria-2025.pdf,S_25_01_21,122,S_25_01_21
CREDEM_VITA_25_01_21,B,CREDEM_VITA,SFCR al 31 Dicembre 2025.pdf,S_25_01_21,180,S_25_01_21
CREDAG_VITA_25_01_21,B_ITA,CREDIT_AGRICOLE,sfcr-2025_ca-vita.pdf,S_25_01_21,72,S_25_01_21
ZURICH_LIFE_25_01_21,B_ITA,ZURICH_LIFE,zil_sfcr_2025_web.pdf,S_25_01_21,69,S_25_01_21
NOBIS_25_01_21,B,NOBIS_VITA,Template_Attachment_SFCR_v1_NOBISVI_DONE.pdf,S_25_01_21,6,S_25_01_21
MEDIO_25_01_21,B,MEDIOLANUM,Relazione_SFCR_2025.pdf,S_25_01_21,179,S_25_01_21
POSTE_VITA_25_01_21,B,POSTE_VITA,Relazione-Unica-sulla-Solvibilita-e-Condizione-Finanziaria-del-Gruppo-Poste-Vita-al-31-Dicembre-2025.pdf,S_25_01_21,154,S_25_01_21
QRT_INTESA_ASSICURAZIONI_25_01_21,B_ITA,QRT_INTESA_VITA,SFCR Gruppo ISPA 2025.pdf,S_25_01_21,257,S_25_01_21
QRT_FIDEURAM_VITA_25_01_21,B_ITA,QRT_FIDEURAM_VITA,SFCR Gruppo ISPA 2025.pdf,S_25_01_21,280,S_25_01_21
ITAS_VITA_25_01_21,B_ITA,ITAS_VITA,SFCR_G0010_20251231.pdf,S_25_01_21,244,S_25_01_21
GROUPAMA_25_01_21,B_ITA,GROUPAMA,SFCR-2025-Relazione-solvibilita-condizione-finanziaria-Groupama-Assicurazioni.pdf,S_25_01_21,105,S_25_01_21
BCC_VITA_25_01_21,B,BCC_VITA,Relazione-sulla-Solvibilita-e-Condizione-Finanziaria-2025_BCC_Vita.pdf,S_25_01_21,120,S_25_01_21
